Новостройки,Оценка,Автор отзыва,Отзыв,Отзывы очищенные,RuterExtractor,Ключевые слова BERT,Ключевые слова YAKE,Все ключевые слова YAKE,Ключевые слова rake,Ключевые слова RAKE,Ключевые слова_filtered,
Катино,Положительная,Вадим Гладких,"Хороший микрорайон. Есть всё в шаговой доступности- школа, детский сад, магазины. Малоэтажные дома, ухоженные дворы.",хороший микрорайон всё шаговой доступности школа детский сад магазины малоэтажные дома ухоженные дворы,"хороший микрорайон, ухоженные дворы, малоэтажные дом, детский сад, школа, магазины","качественных стройматериалов, достопримечательностью подкачали, предоставляющая коммунальные, большинства костромичей, главной достопримечательностью, давыдовский непривычно, достопримечательности музеи, продолжается благоустройством, устаревшие технологии, камуникации дворовые","['дома ухоженные дворы', 'шаговой доступности школа', 'школа детский сад', 'детский сад магазины', 'сад магазины малоэтажные', 'хороший микрорайон', 'микрорайон всё шаговой', 'дворы', 'школа', 'сад']","дома ухоженные дворы, шаговой доступности школа, школа детский сад, детский сад магазины, сад магазины малоэтажные, хороший микрорайон, микрорайон всё шаговой, дворы, школа, сад",хороший микрорайон всё шаговой доступности школа детский сад магазины малоэтажные дома ухоженные дворы,"хороший, микрорайон, всё, шаговой, доступности, школа, детский, сад, магазины, малоэтажные, дома, ухоженные, дворы",хороший микрорайон всё шаговой доступности школа детский сад магазины малоэтажные дома ухоженные дворы,
Катино,Положительная,Сергей Пивоваров,"Отличное место для проживания: тихий район, доброжелательные соседи, доступный многие услуги от магазинов до детских центров.",отличное место проживания тихий район доброжелательные соседи доступный многие услуги магазинов детских центров,"отличное место проживания, доступный услуги магазинов, тихий район, доброжелательные соседи","достопримечательностью подкачали, главной достопримечательностью, достопримечательности музеи, дополнительного образования, качественных стройматериалов, учреждения дополнительного, предоставляющая коммунальные, предусмотренный парковочные, устаревшие технологии, отличное месторасположения","['отличное место проживания', 'магазинов детских центров', 'проживания тихий район', 'тихий район доброжелательные', 'доброжелательные соседи доступный', 'соседи доступный многие', 'многие услуги магазинов', 'центров', 'тихий', 'район']","отличное место проживания, магазинов детских центров, проживания тихий район, тихий район доброжелательные, доброжелательные соседи доступный, соседи доступный многие, многие услуги магазинов, центров, тихий, район",отличное место проживания тихий район доброжелательные соседи доступный многие услуги магазинов детских центров,"отличное, место, проживания, тихий, район, доброжелательные, соседи, доступный, многие, услуги, магазинов, детских, центров",отличное место проживания тихий район доброжелательные соседи доступный многие услуги магазинов детских центров,
Катино,Негативная,Андрей У.,"Новый микрорайон с очень маленькими парковками во внутри дворой территории, можно сказать что они совсем отсутствуют все дворы заставлены машинами. Жители верхних этажей жалуются что зимой очень холодно, а летом не выносимая духота.",новый микрорайон очень маленькими парковками внутри дворой территории сказать отсутствуют дворы заставлены машинами жители верхних этажей жалуются зимой очень холодно летом выносимая духота,"новый микрорайон, выносимая духота, лето, жители, дворы, дворой","качественных стройматериалов, звукопроницаемость ужасная, достопримечательностью подкачали, взаимодействие собственниками, предоставляющая коммунальные, установленным застройщиком, значитстоянки автомобилей, подобными застройщиками, подключаемой водоснабжению, главной достопримечательностью","['летом выносимая духота', 'маленькими парковками внутри', 'внутри дворой территории', 'отсутствуют дворы заставлены', 'дворы заставлены машинами', 'жители верхних этажей', 'этажей жалуются зимой', 'новый микрорайон', 'территории сказать отсутствуют', 'машинами жители']","летом выносимая духота, маленькими парковками внутри, внутри дворой территории, отсутствуют дворы заставлены, дворы заставлены машинами, жители верхних этажей, этажей жалуются зимой, новый микрорайон, территории сказать отсутствуют, машинами жители",новый микрорайон очень маленькими парковками внутри дворой территории сказать отсутствуют дворы заставлены машинами жители верхних этажей жалуются зимой очень холодно летом выносимая духота,"новый, микрорайон, очень, маленькими, парковками, внутри, дворой, территории, сказать, отсутствуют, дворы, заставлены, машинами, жители, верхних, этажей, жалуются, зимой, очень, холодно, летом, выносимая, духота",новый микрорайон очень маленькими парковками внутри дворой территории сказать отсутствуют дворы заставлены машинами жители верхних этажей жалуются зимой очень холодно летом выносимая духота,
Катино,Положительная,Андрей Егоров,"Хороший микрорайон! Чистые подьезды, удобное расположение, хорошая инфроструктура!",хороший микрорайон чистые подьезды удобное расположение хорошая инфроструктура,"хороший микрорайон, хорошая инфроструктура, удобное расположение","качественных стройматериалов, благоустройство хорошее, месторасположение хорошее, привыкать хорошему, большинства костромичей, продолжается благоустройством, холодно электроприборы, благоустройству количеству, хороший автоподъезда, хороший обустроенный","['хороший микрорайон чистые', 'расположение хорошая инфроструктура', 'чистые подьезды удобное', 'удобное расположение', 'хороший', 'чистые']","хороший микрорайон чистые, расположение хорошая инфроструктура, чистые подьезды удобное, удобное расположение, хороший, чистые",хороший микрорайон чистые подьезды удобное расположение хорошая инфроструктура,"хороший, микрорайон, чистые, подьезды, удобное, расположение, хорошая, инфроструктура",хороший микрорайон чистые подьезды удобное расположение хорошая инфроструктура,
Катино,Положительная,Александр Кулак,Ооочень уютный микрорайон!,ооочень уютный микрорайон,уютный микрорайон,"уютный микрорайон, отличный микрорайон, ооочень уютный, очень комфортный, оборудованы достойными, остальное минусы, убирают постоянно, остальном красивый, укрытием обидно, обычный многоквартирный","['ооочень уютный микрорайон', 'ооочень', 'уютный']","ооочень уютный микрорайон, ооочень, уютный",ооочень уютный микрорайон,"ооочень, уютный, микрорайон",ооочень уютный микрорайон,
Катино,Положительная,Ivan Shelepov,"Приятный вид домов, индивидуальное отопление, хорошая инфраструктура, неплохая транспортная доступность. Один из лучших районов Костромы",приятный вид домов индивидуальное отопление хорошая инфраструктура неплохая транспортная доступность лучших районов костромы,"приятный вид домов, неплохая транспортная доступность, хорошая инфраструктура, индивидуальное отопление","достопримечательностью подкачали, предоставляющая коммунальные, главной достопримечательностью, качественных стройматериалов, давыдовский непривычно, подключаемой водоснабжению, предусмотренный парковочные, дополнительного образования, недочёты благоустройству, доступность инфраструктуры","['приятный вид домов', 'лучших районов костромы', 'вид домов индивидуальное', 'индивидуальное отопление хорошая', 'отопление хорошая инфраструктура', 'инфраструктура неплохая транспортная', 'транспортная доступность лучших', 'вид', 'домов', 'отопление']","приятный вид домов, лучших районов костромы, вид домов индивидуальное, индивидуальное отопление хорошая, отопление хорошая инфраструктура, инфраструктура неплохая транспортная, транспортная доступность лучших, вид, домов, отопление",приятный вид домов индивидуальное отопление хорошая инфраструктура неплохая транспортная доступность лучших районов костромы,"приятный, вид, домов, индивидуальное, отопление, хорошая, инфраструктура, неплохая, транспортная, доступность, лучших, районов, костромы",приятный вид домов индивидуальное отопление хорошая инфраструктура неплохая транспортная доступность лучших районов костромы,
Катино,Негативная,ольга соколова,"От микрорайона до остановки идти далеко. Дома эконом класса. Бедненький подъезд внутри, крыша покрыта мятыми листами железа. У кого квартиры на мансардном этаже очень там душно. Из продуктовых магазинов только Пятерочка. До остальных придется шагать и шагать вдоль унылых гаражей.",микрорайона остановки идти далеко дома эконом класса бедненький подъезд внутри крыша покрыта мятыми листами железа кого квартиры мансардном этаже очень душно продуктовых магазинов пятерочка остальных придется шагать шагать вдоль унылых гаражей,"эконом класса, бедненький подъезд, крыша, дом","качественных стройматериалов, достопримечательностью подкачали, обогреватели электричества, большинства костромичей, главной достопримечательностью, облагородить комплекс, отвратительного качества, благоустройству количеству, предоставляющая коммунальные, дополнительного образования","['микрорайона остановки идти', 'вдоль унылых гаражей', 'дома эконом класса', 'класса бедненький подъезд', 'подъезд внутри крыша', 'внутри крыша покрыта', 'покрыта мятыми листами', 'душно продуктовых магазинов', 'магазинов пятерочка остальных', 'остальных придется шагать']","микрорайона остановки идти, вдоль унылых гаражей, дома эконом класса, класса бедненький подъезд, подъезд внутри крыша, внутри крыша покрыта, покрыта мятыми листами, душно продуктовых магазинов, магазинов пятерочка остальных, остальных придется шагать",микрорайона остановки идти далеко дома эконом класса бедненький подъезд внутри крыша покрыта мятыми листами железа кого квартиры мансардном этаже очень душно продуктовых магазинов пятерочка остальных придется шагать шагать вдоль унылых гаражей,"микрорайона, остановки, идти, далеко, дома, эконом, класса, бедненький, подъезд, внутри, крыша, покрыта, мятыми, листами, железа, кого, квартиры, мансардном, этаже, очень, душно, продуктовых, магазинов, пятерочка, остальных, придется, шагать, шагать, вдоль, унылых, гаражей",микрорайона остановки идти далеко дома эконом класса бедненький подъезд внутри крыша покрыта мятыми листами железа кого квартиры мансардном этаже очень душно продуктовых магазинов пятерочка остальных придется шагать шагать вдоль унылых гаражей,
Парковый,Положительная,Ирина Ирина,"Очень хороший комплекс. Дома новые, большие квартиры, автономное отопление. В подъездах чистота и порядок. Замечательные детские площадки, есть лавочки. Очень развитая инфраструктура района, да и в самом комплексе есть магазины, детские организации. Рядом Парк Победы. У нас шикарный вид из окна❤️",очень хороший комплекс дома новые большие квартиры автономное отопление подъездах чистота порядок замечательные детские площадки лавочки очень развитая инфраструктура района самом комплексе магазины детские организации рядом парк победы шикарный вид окна,"шикарный вид окна, хороший комплекс дома, развитая инфраструктура района, парк победы, автономное отопление, чистота, порядок, магазины, комплекс","достопримечательностью подкачали, качественных стройматериалов, предоставляющая коммунальные, большинства костромичей, главной достопримечательностью, количеству парковочных, площадки оборудованные, отвратительного качества, давыдовский непривычно, облагородить комплекс","['шикарный вид окна', 'хороший комплекс дома', 'дома новые большие', 'отопление подъездах чистота', 'чистота порядок замечательные', 'развитая инфраструктура района', 'парк победы шикарный', 'замечательные детские площадки', 'детские площадки лавочки', 'комплексе магазины детские']","шикарный вид окна, хороший комплекс дома, дома новые большие, отопление подъездах чистота, чистота порядок замечательные, развитая инфраструктура района, парк победы шикарный, замечательные детские площадки, детские площадки лавочки, комплексе магазины детские",очень хороший комплекс дома новые большие квартиры автономное отопление подъездах чистота порядок замечательные детские площадки лавочки очень развитая инфраструктура района самом комплексе магазины детские организации рядом парк победы шикарный вид окна,"очень, хороший, комплекс, дома, новые, большие, квартиры, автономное, отопление, подъездах, чистота, порядок, замечательные, детские, площадки, лавочки, очень, развитая, инфраструктура, района, самом, комплексе, магазины, детские, организации, рядом, парк, победы, шикарный, вид, окна",очень хороший комплекс дома новые большие квартиры автономное отопление подъездах чистота порядок замечательные детские площадки лавочки очень развитая инфраструктура района самом комплексе магазины детские организации рядом парк победы шикарный вид окна,
Парковый,Положительная,Наталия Черемисина,"Все супер! Удачное расположение, все что нужно есть рядом. Единственное, беда с парковкой. Красивый, чистый, новый район👍",супер удачное расположение нужно рядом единственное беда парковкой красивый чистый новый район,"красивый чистый новый район, супер удачное расположение, единственное беда","качественных стройматериалов, недочёты благоустройству, подключаемой водоснабжению, достопримечательностью подкачали, давыдовский непривычно, непосредственной близости, наилучшие рекомендации, предусмотренный парковочные, взаимодействие собственниками, предоставляющая коммунальные","['супер удачное расположение', 'чистый новый район', 'единственное беда парковкой', 'беда парковкой красивый', 'супер', 'район', 'удачное', 'беда', 'новый']","супер удачное расположение, чистый новый район, единственное беда парковкой, беда парковкой красивый, супер, район, удачное, беда, новый",супер удачное расположение нужно рядом единственное беда парковкой красивый чистый новый район,"супер, удачное, расположение, нужно, рядом, единственное, беда, парковкой, красивый, чистый, новый, район",супер удачное расположение нужно рядом единственное беда парковкой красивый чистый новый район,
Парковый,Положительная,Алексей Мясников,Новый ЖК. В развивающемся районе. Все что нужно для жизни есть в шаговой доступности.,новый жк развивающемся районе нужно жизни шаговой доступности,,"живописном красивом, красивое живописное, звукопроницаемость ужасная, живут собственной, наилучшие рекомендации, новый развивающийся, жилищный комплекс, красивая живописная, подобными застройщиками, живописные березки","['жизни шаговой доступности', 'новый жк развивающемся', 'развивающемся районе', 'районе нужно жизни', 'новый', 'жизни']","жизни шаговой доступности, новый жк развивающемся, развивающемся районе, районе нужно жизни, новый, жизни",новый жк развивающемся районе нужно жизни шаговой доступности,"новый, жк, развивающемся, районе, нужно, жизни, шаговой, доступности",новый жк развивающемся районе нужно жизни шаговой доступности,
Парковый,Положительная,Ольга Степаненко,"Хотелось бы тут жить! Любимый район города- хорошая АУРА, отличная инфраструктура!!! Переехали в другой регион, если и вернёмся то только сюда",хотелось жить любимый район города хорошая аура отличная инфраструктура переехали регион вернёмся сюда,"любимый район города, хорошая аура, отличная инфраструктура, регион","главной достопримечательностью, звукопроницаемость ужасная, хорошая звукоизоляция, жилья благоустроенные, красивое живописное, достопримечательностью подкачали, предоставляющая коммунальные, живописном красивом, жильцами попробуйте, принимаемого жилья","['хотелось жить любимый', 'регион вернёмся сюда', 'жить любимый район', 'район города хорошая', 'хорошая аура отличная', 'аура отличная инфраструктура', 'инфраструктура переехали регион', 'сюда', 'жить', 'район']","хотелось жить любимый, регион вернёмся сюда, жить любимый район, район города хорошая, хорошая аура отличная, аура отличная инфраструктура, инфраструктура переехали регион, сюда, жить, район",хотелось жить любимый район города хорошая аура отличная инфраструктура переехали регион вернёмся сюда,"хотелось, жить, любимый, район, города, хорошая, аура, отличная, инфраструктура, переехали, регион, вернёмся, сюда",хотелось жить любимый район города хорошая аура отличная инфраструктура переехали регион вернёмся сюда,
Парковый,Нейтральная,елена зиновьева,"Думаю,когда закончится строительство ЖК будет очень красивый район.Рядом парк Победы,напротив торговый центр.Остановки городского транспорта близко.На верхних этажах панорамные окна.Только цена за квадратный метр в этих домах дороговата.",думаю закончится строительство жк очень красивый район рядом парк победы напротив торговый центр остановки городского транспорта близко верхних этажах панорамные окна цена квадратный метр этих домах дороговата,"торговый центр остановки, парк победы, красивый район, квадратный метр, цена, строительство, дома","звукопроницаемость ужасная, установленным застройщиком, застройщиком оборудованием, достопримечательностью подкачали, застройщику подрядчиков, качественных стройматериалов, подрядчиков застройщиков, главной достопримечательностью, замаскированных косяков, подобными застройщиками","['думаю закончится строительство', 'парк победы напротив', 'напротив торговый центр', 'торговый центр остановки', 'центр остановки городского', 'верхних этажах панорамные', 'красивый район', 'район рядом парк', 'городского транспорта', 'транспорта близко верхних']","думаю закончится строительство, парк победы напротив, напротив торговый центр, торговый центр остановки, центр остановки городского, верхних этажах панорамные, красивый район, район рядом парк, городского транспорта, транспорта близко верхних",думаю закончится строительство жк очень красивый район рядом парк победы напротив торговый центр остановки городского транспорта близко верхних этажах панорамные окна цена квадратный метр этих домах дороговата,"думаю, закончится, строительство, жк, очень, красивый, район, рядом, парк, победы, напротив, торговый, центр, остановки, городского, транспорта, близко, верхних, этажах, панорамные, окна, цена, квадратный, метр, этих, домах, дороговата",думаю закончится строительство жк очень красивый район рядом парк победы напротив торговый центр остановки городского транспорта близко верхних этажах панорамные окна цена квадратный метр этих домах дороговата,
Парковый,Положительная,Алексей,"По моему мнению, это будет один из самых лучших районов города. 
Тихо, уютно, территория создана несколькими домами, что защищает от ветра, прекрасный вид на природу и церковь, плюс расположение рядом с зеленой зоной несет в себе множество плюсов. Это прогулки с семьей и друзьями, отдых, свежий и чистый воздух, рядом парк. 
В общем 5+",моему мнению это самых лучших районов города тихо уютно территория создана несколькими домами защищает ветра прекрасный вид природу церковь плюс расположение рядом зеленой зоной несет множество плюсов это прогулки семьей друзьями отдых свежий чистый воздух рядом парк общем,"свежий чистый воздух, множество плюсов прогулки, прекрасный вид, церковь, территория, расположение, парк, отдых, друзья","достопримечательностью подкачали, качественных стройматериалов, предоставляющая коммунальные, главной достопримечательностью, установленным застройщиком, подключаемой водоснабжению, отслаивающейся квартирах, большинства костромичей, звукопроницаемость ужасная, достопримечательности музеи","['самых лучших районов', 'районов города тихо', 'города тихо уютно', 'тихо уютно территория', 'территория создана несколькими', 'несколькими домами защищает', 'защищает ветра прекрасный', 'прекрасный вид природу', 'церковь плюс расположение', 'зеленой зоной несет']","самых лучших районов, районов города тихо, города тихо уютно, тихо уютно территория, территория создана несколькими, несколькими домами защищает, защищает ветра прекрасный, прекрасный вид природу, церковь плюс расположение, зеленой зоной несет",моему мнению это самых лучших районов города тихо уютно территория создана несколькими домами защищает ветра прекрасный вид природу церковь плюс расположение рядом зеленой зоной несет множество плюсов это прогулки семьей друзьями отдых свежий чистый воздух рядом парк общем,"моему, мнению, это, самых, лучших, районов, города, тихо, уютно, территория, создана, несколькими, домами, защищает, ветра, прекрасный, вид, природу, церковь, плюс, расположение, рядом, зеленой, зоной, несет, множество, плюсов, это, прогулки, семьей, друзьями, отдых, свежий, чистый, воздух, рядом, парк, общем",моему мнению это самых лучших районов города тихо уютно территория создана несколькими домами защищает ветра прекрасный вид природу церковь плюс расположение рядом зеленой зоной несет множество плюсов это прогулки семьей друзьями отдых свежий чистый воздух рядом парк общем,
Парковый,Негативная,AlexR.,"Идея была хорошая, но реализовали её бестолково: часть домов ""окна в окна"", пару домов ""воткнули"" близко к проезжей части (земли в Костроме видимо не хватает). Короче, вместо современного ЖК ""исполнили"" реинкарнацию микрорайона...",идея хорошая реализовали её бестолково часть домов окна окна пару домов воткнули близко проезжей части земли костроме видимо хватает короче вместо современного жк исполнили реинкарнацию микрорайона,"часть домов окна окна, идея","достопримечательностью подкачали, качественных стройматериалов, продолжается благоустройством, отслаивающейся квартирах, благоустройству количеству, главной достопримечательностью, предоставляющая коммунальные, подключаемой водоснабжению, обогреватели электричества, звукопроницаемость ужасная","['идея хорошая реализовали', 'исполнили реинкарнацию микрорайона', 'проезжей части земли', 'части земли костроме', 'костроме видимо хватает', 'хватает короче вместо', 'пару домов воткнули', 'окна окна пару', 'реализовали её бестолково', 'воткнули близко проезжей']","идея хорошая реализовали, исполнили реинкарнацию микрорайона, проезжей части земли, части земли костроме, костроме видимо хватает, хватает короче вместо, пару домов воткнули, окна окна пару, реализовали её бестолково, воткнули близко проезжей",идея хорошая реализовали её бестолково часть домов окна окна пару домов воткнули близко проезжей части земли костроме видимо хватает короче вместо современного жк исполнили реинкарнацию микрорайона,"идея, хорошая, реализовали, её, бестолково, часть, домов, окна, окна, пару, домов, воткнули, близко, проезжей, части, земли, костроме, видимо, хватает, короче, вместо, современного, жк, исполнили, реинкарнацию, микрорайона",идея хорошая реализовали её бестолково часть домов окна окна пару домов воткнули близко проезжей части земли костроме видимо хватает короче вместо современного жк исполнили реинкарнацию микрорайона,
Парковый,Положительная,Михаил Дворников,"Хошие новостройки, красиво, ухоженные детские площадки, рядом парк, развита инфраструктура.",хошие новостройки красиво ухоженные детские площадки рядом парк развита инфраструктура,"парк, инфраструктура","качественных стройматериалов, большинства костромичей, недочёты благоустройству, наилучшие рекомендации, количеству парковочных, невыносимая квартирах, планировки трехкомнатных, достопримечательностью подкачали, давыдовский непривычно, отвратительного качества","['хошие новостройки красиво', 'парк развита инфраструктура', 'красиво ухоженные детские', 'детские площадки', 'площадки рядом парк', 'хошие', 'красиво', 'парк', 'развита']","хошие новостройки красиво, парк развита инфраструктура, красиво ухоженные детские, детские площадки, площадки рядом парк, хошие, красиво, парк, развита",хошие новостройки красиво ухоженные детские площадки рядом парк развита инфраструктура,"хошие, новостройки, красиво, ухоженные, детские, площадки, рядом, парк, развита, инфраструктура",хошие новостройки красиво ухоженные детские площадки рядом парк развита инфраструктура,
Парковый,Положительная,Илья,Уютный район! Развитая инфраструктура.,уютный район развитая инфраструктура,"уютный район, развитая инфраструктура","развитие инфраструктуры, инфраструктура развивается, развитая инфраструктура, развитием инфраструктуры, инфраструктура развита, развитой инфраструктурой, развита инфраструктура, удобная инфраструктура, инфраструктура работаю, отличная инфраструктура","['уютный район развитая', 'район развитая инфраструктура', 'уютный', 'район']","уютный район развитая, район развитая инфраструктура, уютный, район",уютный район развитая инфраструктура,"уютный, район, развитая, инфраструктура",уютный район развитая инфраструктура,
